"tweet_id","airline_sentiment"
569936252977451008,"neutral"
569903268312125440,"negative"
569588578159697920,"negative"
567843309349036032,"neutral"
570188097305976832,"negative"
568879791648088064,"negative"
568807928154558464,"negative"
568521303956656128,"negative"
569357127040540672,"negative"
569775147919372288,"positive"
568450710553174016,"neutral"
568178355452792832,"neutral"
567748702781992960,"negative"
569746612433629184,"negative"
568738229274464256,"negative"
568955339607019520,"negative"
568166390873653248,"negative"
569533875308916736,"neutral"
569457108355289088,"negative"
568909605499215872,"negative"
570001183600812032,"negative"
568519360953716736,"neutral"
570060752926728192,"negative"
569110766235877376,"positive"
568797401772892160,"negative"
569678787383857152,"negative"
569528409723969536,"negative"
567753815634370560,"negative"
568258075431477248,"negative"
569622568459636736,"negative"
568773575705899008,"negative"
568542766860541952,"negative"
569952247641198592,"negative"
567735710392659968,"negative"
569946472751476736,"negative"
568895164577685504,"neutral"
569689826221363200,"negative"
569207235953307648,"negative"
567822779501846528,"negative"
568999879176949760,"negative"
569658553381883904,"negative"
568858368829313024,"negative"
569730801480245248,"negative"
567903883047088128,"negative"
569661926067736576,"negative"
569703041957564416,"negative"
570066245195829248,"negative"
569237160886276096,"neutral"
567864058742845440,"negative"
569509408939487232,"negative"
569596097540132864,"negative"
569918484726964224,"negative"
567676400933416960,"negative"
569667782910058496,"negative"
568307768551026688,"neutral"
569691680661762048,"negative"
569812898815614976,"negative"
568985734163664896,"negative"
568416602728890368,"negative"
569836091651592192,"negative"
569655262765719552,"negative"
569944281512685568,"negative"
569844251426729984,"negative"
568068468261519360,"negative"
568056050877919232,"negative"
569878990841901056,"negative"
569226044118581248,"negative"
568223380375076864,"positive"
569961302338072576,"positive"
569526894028197888,"negative"
569739695459995648,"neutral"
568787202341081088,"negative"
569636013443719168,"negative"
568828267660054528,"positive"
569612549458522112,"negative"
567940050186604544,"negative"
570095043169529856,"positive"
568889146179072000,"negative"
567949332395249664,"negative"
569863453696876544,"negative"
567827860280324096,"neutral"
568862907850743808,"negative"
567748330734641152,"neutral"
569542699222573056,"negative"
569336402401472512,"negative"
569286569548320768,"negative"
568962609375895552,"positive"
569843488969371648,"negative"
569143528397254656,"neutral"
567790175813681152,"negative"
568177022712676352,"neutral"
569657128866095104,"negative"
569668144198848512,"neutral"
569709058636320768,"negative"
569931469990154240,"neutral"
569483303067131904,"negative"
568085714744684544,"positive"
569669991450185728,"neutral"
569236471690829824,"neutral"
568552775325364224,"negative"
568100973966569472,"neutral"
569524310186061824,"neutral"
569917319381712896,"negative"
568454161962049536,"negative"
569566252450107392,"negative"
569579474762608640,"negative"
569337830184345600,"negative"
569729657248985088,"neutral"
569527205291802624,"negative"
567741700597366784,"negative"
569382407847211008,"negative"
569385898573299712,"negative"
567861975419457536,"positive"
568067065388642304,"positive"
568828648687591424,"negative"
569641247075213312,"negative"
568662554047696896,"neutral"
568834824410148864,"positive"
569560386548006912,"negative"
568100371794665472,"negative"
569915529496027136,"negative"
567874970463780864,"positive"
569701646445326336,"neutral"
568109390026448896,"negative"
569680835894497280,"neutral"
569257033972604928,"positive"
569144056305074176,"negative"
569317747101982720,"negative"
567810811491524608,"negative"
570021075355963392,"negative"
568949199779155968,"neutral"
570248162067107840,"negative"
569887773953527808,"negative"
568228761566642176,"negative"
567728679426326528,"negative"
569867943888056320,"negative"
568176529584173056,"neutral"
568441679503495168,"negative"
567686758708817920,"negative"
569229796401684480,"negative"
569959975566467072,"negative"
569232738655412224,"negative"
570174794425098240,"negative"
569913838746742784,"negative"
569703468736376832,"negative"
569934205611872256,"negative"
568242359928037376,"negative"
569925941067186176,"neutral"
569602645712769024,"neutral"
567773176031145984,"negative"
569923525508665344,"neutral"
569670708818780160,"positive"
569226313220947968,"negative"
570151698489954304,"negative"
568948170060746752,"negative"
567908702088376320,"negative"
570308064185880576,"negative"
570097456786104320,"negative"
569494270966685696,"negative"
568900770860392448,"negative"
570272172679282688,"negative"
569967850670018560,"negative"
569641346316640256,"negative"
567748407070953472,"neutral"
569920656621465600,"neutral"
568185352441212928,"negative"
569867719874650112,"positive"
569826452633313280,"positive"
568211517398786048,"negative"
570275450200711168,"neutral"
568279994876571648,"negative"
569848398129565696,"negative"
569321654842564608,"negative"
570264682541522944,"negative"
567779815227260928,"positive"
567893822585327616,"negative"
569655420962238464,"negative"
568151138421207040,"negative"
568188203397574656,"negative"
568953367646625792,"positive"
570064285860171776,"negative"
569166368781635584,"negative"
569976092359917568,"neutral"
567900433542488064,"negative"
567758007912906752,"neutral"
569528550589464576,"negative"
569646144805953536,"negative"
569879623317659648,"negative"
570298644475346944,"negative"
569924676715220992,"neutral"
570211016308596736,"neutral"
570030761539182592,"negative"
569964335038124032,"negative"
569691079471050752,"negative"
568969519252680704,"neutral"
568837638611992576,"negative"
570237762063831040,"positive"
569927856232534016,"neutral"
569499788934291456,"neutral"
568740200479793152,"negative"
569970186431959040,"negative"
570286841737318400,"negative"
570306715599695872,"negative"
568626368373780480,"negative"
568969040133165056,"negative"
567719199850496000,"negative"
569275566077165568,"negative"
569522307657388032,"neutral"
568969143581413376,"negative"
568788947859607552,"positive"
570047669370036224,"neutral"
570210502955155456,"negative"
568380045431058432,"negative"
569913736774823936,"positive"
570217831557677056,"negative"
568593538520231936,"negative"
569638919131627520,"negative"
569719693780496384,"neutral"
569947283846004736,"negative"
567881925727113216,"negative"
568951462413209600,"positive"
568217304259010560,"negative"
569630148468670464,"neutral"
569554776611901440,"neutral"
569238877178716160,"negative"
567692504397803520,"negative"
569970938525016064,"negative"
567897030934269952,"neutral"
569619984802054144,"negative"
569914369905201152,"negative"
567832153670705152,"positive"
567780426601996288,"negative"
569597885446270976,"negative"
569843749230133248,"negative"
569533098402009088,"positive"
568086073814827008,"negative"
569671871634935808,"negative"
569671908251213824,"neutral"
569953628687101952,"positive"
569921652374577152,"negative"
568220131819720704,"negative"
569604198771363840,"negative"
569365692618661888,"negative"
568612163578773504,"negative"
567865044580638720,"negative"
568640713635676160,"positive"
569377543687700480,"negative"
570271904508092416,"negative"
568413365254488064,"negative"
570059565947101184,"negative"
569692168165527552,"negative"
569687888771706880,"neutral"
567878696356433920,"negative"
568193603954085888,"positive"
568793221809250304,"negative"
567760797062152192,"negative"
569676612851134464,"negative"
569219701001179136,"neutral"
569740959610572800,"negative"
569974833418600448,"negative"
567902921829978112,"neutral"
568492323824381952,"negative"
567811407309185024,"negative"
570257563003920384,"negative"
569265728408440832,"negative"
570009228867293184,"negative"
568386996525252608,"neutral"
569244202225307648,"negative"
569366184904122368,"negative"
569937143314849792,"negative"
568597062104813568,"negative"
569958301443739648,"negative"
568437385844924416,"neutral"
567882458357714944,"negative"
568763889506082816,"neutral"
568510570799869952,"positive"
569684963777503232,"negative"
569615410720432128,"negative"
569984437720453120,"negative"
569621528951660544,"negative"
569950555344228352,"negative"
569878547197616128,"negative"
567770347065384960,"neutral"
569627079458865152,"negative"
568101393111891968,"negative"
569644902637813760,"negative"
569539746348675072,"negative"
568432918110064640,"negative"
570230527032229888,"negative"
568573570114134016,"negative"
569857805483675648,"negative"
568825797613645824,"neutral"
569001941533003776,"negative"
568577596172009472,"negative"
568983296018751488,"negative"
570248695670841344,"positive"
567728357555437568,"neutral"
569493640990625792,"negative"
568846499431337984,"neutral"
569273298325864448,"negative"
568906461461393408,"neutral"
570218532060835840,"negative"
569375244751745024,"neutral"
567731712004595712,"neutral"
569206387483525120,"neutral"
570046387825410048,"negative"
570272235639828480,"negative"
569686397789057024,"negative"
569191687794270208,"neutral"
569745303794024448,"negative"
569815545077501952,"negative"
569615636869062656,"negative"
568802013196242944,"positive"
569956564993310720,"negative"
567746527704018944,"positive"
569576624158437376,"negative"
569550230376423424,"negative"
568238379847921664,"positive"
568834902365503488,"positive"
569595745126494208,"negative"
569908759125991424,"positive"
567900686089719808,"negative"
567726092518031360,"neutral"
569243185832169472,"negative"
568167414493532160,"negative"
5.70239463089e+17,"positive"
569625456816709632,"negative"
570267902726803456,"negative"
568969274410168320,"negative"
570279118438182912,"positive"
568876016216600576,"negative"
568751669892268032,"negative"
567732284959113216,"negative"
569851855917830144,"negative"
568928195581513728,"neutral"
569935639539425280,"negative"
569900131488632832,"negative"
569889475658178560,"negative"
570008443626647552,"negative"
568180869120135168,"negative"
570066634976555008,"neutral"
568935636318552064,"positive"
568129947752992768,"negative"
568764097015058432,"neutral"
567719957686136832,"neutral"
569506974930481152,"negative"
568456567835619328,"negative"
568083251866152960,"negative"
570276843812732928,"positive"
568107551553794048,"negative"
567853001534210048,"negative"
569785570320195584,"negative"
568561858875142144,"negative"
568078285520785408,"neutral"
569554937744486400,"negative"
568432260912959488,"neutral"
570283824040382464,"positive"
569914468404035584,"negative"
569672477967835136,"positive"
568618050745864192,"negative"
568780741909319680,"negative"
569544873809989632,"negative"
569571772355489792,"negative"
569257932908470272,"negative"
569948314948530176,"negative"
570044332843134976,"positive"
570013472093642752,"negative"
569641259826061312,"negative"
570296417094373376,"neutral"
568515101319254016,"positive"
570292914686955520,"neutral"
569439674294337536,"positive"
569683921908195328,"negative"
569672095753502720,"negative"
569967909155446784,"positive"
569226460281610240,"negative"
567789974717747200,"negative"
570079536815034368,"positive"
569935980129447936,"negative"
568963705439789056,"negative"
569592981742878720,"neutral"
569700252321755136,"negative"
568786817404817408,"negative"
569209306874122240,"neutral"
569949017674809344,"negative"
569623961224351744,"negative"
569914076496850944,"negative"
569641551116177408,"positive"
568662835829415936,"negative"
569666826352898048,"positive"
569905884425383936,"neutral"
567745009890623488,"negative"
569229557468827648,"negative"
567873801653997568,"negative"
569269757293293568,"positive"
569385087424458752,"neutral"
569626655527981056,"negative"
570288981847502848,"negative"
567899634833690624,"negative"
568615812594077696,"neutral"
569859213331189760,"negative"
570000760035024896,"negative"
570249204767055872,"negative"
569234592420331520,"positive"
568581908075933696,"neutral"
568806740227166208,"negative"
569616699604934656,"negative"
569945501166133248,"negative"
569026124484706304,"negative"
569589454194790400,"neutral"
568944928266412032,"neutral"
569780368309657600,"negative"
570227917877354496,"positive"
568198666613338112,"negative"
569914848991010816,"negative"
570226757380530176,"negative"
568995608238772224,"neutral"
567865703765798912,"negative"
570309156290367488,"negative"
570306423818723328,"negative"
569666470482804736,"negative"
567788578026311680,"negative"
567809695260639232,"negative"
569592368518660096,"negative"
568921315069042688,"positive"
570264515285266432,"neutral"
567793635892174848,"neutral"
569298165855338496,"positive"
567737909072367616,"negative"
569358195862462464,"negative"
569844028365275136,"negative"
568497723109974016,"negative"
570235698608869376,"negative"
568948848263081984,"neutral"
570217425100148736,"positive"
569005870463344640,"negative"
569834388919328768,"positive"
568213769098108928,"positive"
570143200935063552,"negative"
570070877351469056,"negative"
567800210064420864,"negative"
570264106059624448,"negative"
569846237865885696,"negative"
569618659917893632,"negative"
569902322718871552,"negative"
570300767074181120,"negative"
568088472772157440,"neutral"
569810990189191168,"negative"
569691772000931840,"negative"
569674298924900352,"negative"
568449223730925568,"negative"
568141720556322816,"negative"
569935689292259328,"negative"
570083761582428160,"negative"
568503048961724416,"negative"
569906831352578048,"negative"
568524724256444416,"neutral"
568134534857764864,"negative"
569049391337578496,"negative"
569916323725217792,"negative"
569969599711571968,"negative"
567864588521381888,"negative"
568080078875324416,"negative"
569431307152953344,"negative"
569646045656948736,"negative"
568861568609456128,"negative"
567745903474540544,"negative"
568611819864117248,"positive"
570256052966395904,"negative"
569647618932002816,"negative"
568228614275260416,"negative"
568883827218763776,"neutral"
568862460519813120,"neutral"
569620354781425664,"negative"
569633689665216512,"negative"
570287271234174976,"negative"
569565776010567680,"neutral"
568482168021917696,"negative"
569273251186286592,"negative"
569649779090833408,"neutral"
570009008817500160,"negative"
567793494695157760,"negative"
568418165853540352,"negative"
567873698679623680,"neutral"
569891937924358144,"negative"
568509738763169792,"negative"
567813046811525120,"positive"
569672905270800384,"neutral"
569351618522705920,"positive"
568813431962226688,"negative"
569946571577536512,"negative"
568118981170606080,"negative"
569635428237778944,"negative"
568446906524950528,"negative"
